,Zipcode,City,State,Latitude,Longitude
0,07675,westwood,nj,40.99121,-74.03264
4,07677,woodcliff lake,nj,41.02343,-74.06653
7,07885,wharton,nj,40.913298,-74.58246
8,07981,whippany,nj,40.82454,-74.4171
9,07999,whippany,nj,40.867331,-74.57826899999999
10,08888,whitehouse,nj,40.61844,-74.74433
11,08889,whitehouse station,nj,40.61538,-74.77044
13,07095,woodbridge,nj,40.5576,-74.28459
14,07481,wyckoff,nj,40.998583,-74.1671
15,10451,bronx,ny,40.819728999999995,-73.9223
16,10452,bronx,ny,40.838745,-73.92234
17,10453,bronx,ny,40.853017,-73.91214000000001
18,10454,bronx,ny,40.805968,-73.91628
19,10455,bronx,ny,40.815559,-73.90771
20,10456,bronx,ny,40.829676,-73.90856
21,10457,bronx,ny,40.846745,-73.89860999999999
22,10458,bronx,ny,40.864166,-73.88880999999999
23,10459,bronx,ny,40.825432,-73.89327
24,10460,bronx,ny,40.84095,-73.88036
25,10461,bronx,ny,40.842917,-73.83819
26,10462,bronx,ny,40.842172999999995,-73.85862
27,10463,bronx,ny,40.881085999999996,-73.90749
28,10464,bronx,ny,40.857017,-73.78903000000001
29,10465,bronx,ny,40.825727,-73.81752
30,10466,bronx,ny,40.89095,-73.84702
31,10467,bronx,ny,40.872265000000006,-73.86936999999999
32,10468,bronx,ny,40.867107,-73.89916
33,10469,bronx,ny,40.868643,-73.84735
34,10470,bronx,ny,40.900628999999995,-73.86072
35,10471,bronx,ny,40.900819,-73.90347
36,10472,bronx,ny,40.830409,-73.86845
37,10473,bronx,ny,40.818514,-73.85893
38,10474,bronx,ny,40.81321,-73.88755
39,10475,bronx,ny,40.878522,-73.82540999999999
40,10499,bronx,ny,40.851549,-73.840908
41,10001,new york,ny,40.750741999999995,-73.99653
42,10002,new york,ny,40.717040000000004,-73.987
44,10003,new york,ny,40.732509,-73.98935
45,10004,new york,ny,40.699226,-74.04118000000001
47,10005,new york,ny,40.706019,-74.00858000000001
49,10006,new york,ny,40.707904,-74.01342
51,10007,new york,ny,40.714754,-74.00721
52,10008,new york,ny,40.780751,-73.977182
53,10009,new york,ny,40.727092999999996,-73.97864
54,10010,new york,ny,40.742185,-73.992602
55,10011,new york,ny,40.742185,-73.992602
56,10012,new york,ny,40.72596,-73.99834
58,10013,new york,ny,40.720665999999994,-74.00525999999999
61,10014,new york,ny,40.734718,-74.00532
62,10016,new york,ny,40.746179999999995,-73.97759
63,10017,new york,ny,40.752159000000006,-73.97231
64,10018,new york,ny,40.755101,-73.99337
65,10019,new york,ny,40.765714,-73.9856
66,10020,new york,ny,40.742185,-73.992602
67,10021,new york,ny,40.76842,-73.96045
68,10022,new york,ny,40.759015000000005,-73.96732
69,10023,new york,ny,40.776099,-73.98285
70,10024,new york,ny,40.786387,-73.97709
71,10025,new york,ny,40.798502,-73.96811
72,10026,new york,ny,40.802853000000006,-73.95470999999999
73,10027,new york,ny,40.812665,-73.95499000000001
74,10028,new york,ny,40.776777,-73.9541
75,10029,new york,ny,40.791585999999995,-73.94575
76,10030,new york,ny,40.818151,-73.94351
77,10031,new york,ny,40.826201,-73.94879
78,10032,new york,ny,40.840686,-73.94154
79,10033,new york,ny,40.848764,-73.93496
80,10034,new york,ny,40.867653000000004,-73.92
81,02478,belmont,ma,42.39593,-71.17867
82,02479,waverley,ma,42.446396,-71.459405
83,02445,brookline,ma,42.324397,-71.13933
84,02446,brookline,ma,42.344747,-71.12141
85,02447,brookline village,ma,42.180048,-71.08923
87,02420,lexington,ma,42.44732,-71.2245
88,02421,lexington,ma,42.4426,-71.2265
89,02492,needham,ma,42.28343,-71.23283
90,02494,needham,ma,42.29813,-71.23154
93,02456,new town,ma,42.446396,-71.459405
94,02458,newton,ma,42.354727000000004,-71.18809
96,02459,newton center,ma,42.33065,-71.1995
99,02460,newtonville,ma,42.3501,-71.20367
101,02461,newton highlands,ma,42.32093,-71.1995
104,02462,newton lower falls,ma,42.32926,-71.25367
108,02464,newton upper falls,ma,42.31399,-71.2195
111,02465,west newton,ma,42.3501,-71.23283
113,02466,auburndale,ma,42.34732,-71.2495
114,02467,chestnut hill,ma,42.3164,-71.1612
117,02468,waban,ma,42.32787,-71.22728
118,02495,nonantum,ma,42.446396,-71.459405
120,02451,waltham,ma,42.37649,-71.23561
122,02452,waltham,ma,42.392496,-71.22153
124,02453,waltham,ma,42.37649,-71.23561
126,02454,waltham,ma,42.356719,-71.250479
127,02455,north waltham,ma,42.39,-71.22
128,02471,watertown,ma,42.446396,-71.459405
129,02472,watertown,ma,42.37093,-71.18283
132,02477,watertown,ma,42.446396,-71.459405
133,02457,babson park,ma,42.180048,-71.08923
134,02481,wellesley hills,ma,42.30843,-71.27867
137,02482,wellesley,ma,42.29649,-71.29256
138,02493,weston,ma,42.36676,-71.30311
139,02184,braintree,ma,42.209555,-70.99968
140,02185,braintree,ma,42.180048,-71.08923
141,02186,milton,ma,42.24954,-71.06616
142,02187,milton village,ma,42.180048,-71.08923
144,02169,quincy,ma,42.25288,-71.00227
145,02170,quincy,ma,42.267049,-71.01834000000001
147,02171,quincy,ma,42.284498,-71.02316
150,02269,quincy,ma,42.180048,-71.08923
151,02188,weymouth,ma,42.212866,-70.95872
152,02189,weymouth,ma,42.2112,-70.93111
154,02190,weymouth,ma,42.1711,-70.94596999999999
157,02191,weymouth,ma,42.242748999999996,-70.94434
160,01718,village of nagog woods,ma,42.51898,-71.42951
163,01719,boxborough,ma,42.48838,-71.51779
166,01720,acton,ma,42.477142,-71.4422
167,02474,arlington,ma,42.41537,-71.15644
170,02475,arlington heights,ma,42.446396,-71.459405
172,02476,arlington,ma,42.416745,-71.17761
173,02150,chelsea,ma,42.39176,-71.03283
174,02149,everett,ma,42.40843,-71.05366
175,02152,winthrop,ma,42.3751,-70.98283
176,02151,revere,ma,42.416247,-71.00525
177,02148,malden,ma,42.4251,-71.06616
178,02176,melrose,ma,42.45843,-71.06616
179,02153,medford,ma,42.446396,-71.459405
182,02155,medford,ma,42.41843,-71.10616
183,02156,west medford,ma,42.446396,-71.459405
184,02143,somerville,ma,42.3876,-71.0995
185,02144,somerville,ma,42.399546,-71.12165
188,02145,somerville,ma,42.3876,-71.0995
190,02180,stoneham,ma,42.4801,-71.0995
191,01913,amesbury,ma,42.85842,-70.93005
192,01810,andover,ma,42.646941999999996,-71.1513
193,01812,andover,ma,42.647191,-71.184202
194,01899,andover,ma,42.635443,-70.87912299999999
195,05501,andover,ma,42.647191,-71.184202
196,05544,andover,ma,42.647191,-71.184202
197,01430,ashburnham,ma,42.6362,-71.90785
198,01431,ashby,ma,42.67787,-71.82035
199,01721,ashland,ma,42.26121,-71.4634
200,01501,auburn,ma,42.20361,-71.83843
201,02322,avon,ma,42.121932,-71.04522
202,01432,ayer,ma,42.5591,-71.5788
203,01434,devens,ma,42.53,-71.61
205,01436,baldwinville,ma,42.60842,-72.07591
206,02630,barnstable,ma,41.70011,-70.29947
207,01730,bedford,ma,42.49065,-71.27617
208,01731,hanscom afb,ma,42.45813,-71.27605
210,02019,bellingham,ma,42.075122,-71.47953000000001
211,01503,berlin,ma,42.3812,-71.63701
212,01915,beverly,ma,42.55843,-70.88005
213,01821,billerica,ma,42.54805,-71.25054
214,01822,billerica,ma,42.446396,-71.459405
215,01504,blackstone,ma,42.028147,-71.52999
216,01740,bolton,ma,42.43343,-71.60784
217,02108,boston,ma,42.35843,-71.05977
218,02109,boston,ma,42.35843,-71.05977
219,02110,boston,ma,42.35843,-71.05977
220,02111,boston,ma,42.35843,-71.05977
221,02112,boston,ma,42.338947,-70.919635
222,02113,boston,ma,42.35843,-71.05977
223,02114,boston,ma,42.35843,-71.05977
224,02115,boston,ma,42.34308,-71.09268
225,02116,boston,ma,42.349622,-71.07372
226,02117,boston,ma,42.35843,-71.05977
